PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,LUAS_WILAYAH,JUMLAH_PENDUDUK,KEPADATAN_PENDUDUK,KRS,BPJS,IDM
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,75.9,898,11.83,173,132,TERTINGGAL
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,2.69,2174,808.18,171,678,MAJU
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,3.34,1198,358.68,158,188,MAJU
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,2.17,2164,997.24,111,367,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,4.29,2367,551.75,131,632,
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,22.6,2326,102.92,153,234,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,2.11,1065,504.74,98,732,BERKEMBANG
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,10.74,1147,106.8,145,482,TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,7.37,1129,153.19,33,620,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,11.15,1046,93.81,81,362,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,2.44,1894,776.23,172,560,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,2.33,1332,571.67,74,354,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,2.25,1382,614.22,56,974,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,12.57,1182,94.03,84,181,SANGAT TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,8.4,1164,138.57,90,134,TERTINGGAL
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,2.64,2554,967.42,157,653,MAJU
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,2.42,3822,1579.34,377,893,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,4.92,955,194.11,41,165,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,4.67,2019,432.33,79,918,
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,3.05,1050,344.26,47,555,BERKEMBANG
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,1.62,843,520.37,67,331,MAJU
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,2.45,1842,751.84,69,705,
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,2.63,2375,903.04,147,352,BERKEMBANG
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,5.25,1676,319.24,214,418,
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,8.44,789,93.48,26,654,
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,10.58,1452,137.24,82,385,
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,7.75,1143,147.48,65,746,MAJU
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,3.89,766,196.92,66,935,
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,7.45,939,126.04,68,489,
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,7.17,2112,294.56,123,652,
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,7.85,4551,579.75,154,125,BERKEMBANG
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,10.87,1798,165.41,102,324,
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,8.84,574,64.93,68,274,
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,11.72,692,59.04,27,426,
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,17.54,838,47.78,77,673,
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,4.06,1048,258.13,134,485,
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,14.55,2149,147.7,174,659,TERTINGGAL
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,15.05,1758,116.81,87,142,
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,5.02,1810,360.56,64,717,BERKEMBANG
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,13.64,1804,132.26,268,891,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,6.2,1414,228.06,170,784,
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,8.15,1470,180.37,81,984,
